order_id,warehouse,shipping_mode,distance_km,weight_kg,promised_days,actual_days,cost_inr,delayed,customer_rating
QC100000,Bangalore,Road,1268.3,2.72,3.4,2.85,9748.45,0,4.7
QC100001,Hyderabad,Road,1037.6,1.57,3.1,3.45,7958.34,1,2.5
QC100002,Delhi-NCR,Rail,274.2,4.22,1.3,1.62,1618.51,1,2.9
QC100003,Hyderabad,Road,862.4,2.9,2.8,2.23,6563.38,0,4.7
QC100004,Hyderabad,ROAD,614.2,7.62,2.0,2.7,4851.89,1,3.2
QC100005,Pune,Air,811.5,0.82,2.6,1.39,16033.09,0,3.8
QC100006,Delhi-NCR,Road,1035.4,,3.3,3.02,8067.48,0,5.0
QC100007,Delhi-NCR,Air,1130.2,4.13,3.4,0.99,22522.87,0,4.0
QC100008,Delhi-NCR,Road,1182.5,1.84,3.5,3.33,9020.25,0,4.4
QC100009,Hyderabad,Rail,361.5,4.67,1.6,1.63,2027.79,1,3.2
QC100010,Bangalore,Air,51.3,6.54,1.0,0.46,1250.97,0,3.9
QC100011,Delhi-NCR,Road,1037.1,3.22,3.2,3.4,8042.06,1,3.4
QC100012,Hyderabad,Rail,156.0,1.04,1.0,1.49,833.82,1,3.5
QC100013,Pune,Road,446.4,2.52,1.9,0.94,3437.98,0,4.2
QC100014,Bangalore,Rail,13.3,5.6,0.7,0.76,98.99,1,3.1
QC100015,Pune,Road,956.9,4.05,3.0,2.64,7471.22,0,4.7
QC100016,Bangalore,Road,240.6,2.73,1.2,2.1,1950.41,1,2.3
QC100017,Hyderabad,Road,920.2,6.59,3.1,2.77,7199.35,0,4.0
QC100018,Mumbai,Road,1388.5,4.68,3.9,3.23,10754.07,0,4.5
QC100019,Bangalore,Road,109.2,4.9,0.8,0.81,877.11,1,3.0
QC100020,Pune,Air,115.3,2.35,1.1,0.41,2232.37,0,4.1
QC100021,Hyderabad,Air,481.8,2.22,1.8,0.3,9613.23,0,4.9
QC100022,Bangalore,Rail,1214.0,1.08,3.4,3.64,6628.35,1,
QC100023,Mumbai,Road,308.0,2.57,1.5,1.09,2498.88,0,5.0
QC100024,Mumbai,Air,509.6,5.27,1.8,0.77,10172.89,0,3.5
QC100025,Delhi-NCR,Road,103.4,2.66,1.1,0.56,818.08,0,3.3
QC100026,Delhi-NCR,Road,1070.3,3.92,3.2,2.8,46494.36932481385,0,4.8
QC100027,Pune,Road,576.4,5.85,2.1,2.22,4555.0,1,2.8
QC100028,Bangalore,Road,1064.9,3.76,3.1,3.1,8197.24,1,2.8
QC100029,Bangalore,Air,1265.8,3.98,3.7,1.63,25131.35,0,4.9
QC100030,Delhi-NCR,Road,332.0,1.33,1.6,0.74,2613.6,0,4.2
QC100031,Bangalore,Road,1131.9,2.48,3.3,2.99,8666.12,0,4.9
QC100032,Bangalore,Road,90.3,8.47,0.8,0.3,926.72,0,4.1
QC100033,Mumbai,Road,1259.2,3.2,3.4,2.94,9728.47,0,4.6
QC100034,Delhi-NCR,Road,913.9,9.37,2.8,3.2,7048.54,1,3.0
QC100035,Hyderabad,Rail,1224.9,1.95,3.3,4.31,6618.64,1,2.8
QC100036,Delhi-NCR,Road,8.3,3.46,0.9,0.86,40.0,0,5.0
QC100037,Hyderabad,Road,243.4,2.39,1.5,1.72,1893.23,1,3.9
QC100038,Mumbai,Road,550.5,4.29,2.2,1.95,4258.65,0,4.0
QC100039,Pune,Air,536.3,5.14,2.1,0.3,10761.35,0,4.3
QC100040,Bangalore,Rail,323.6,,1.6,1.25,1772.16,0,5.0
QC100041,Mumbai,Air,539.2,5.61,2.3,0.8,10800.4,0,3.9
QC100042,Bangalore,AIR,187.4,2.98,1.3,0.38,3798.29,0,3.9
QC100043,Pune,Road,582.6,2.68,2.2,1.64,4520.56,0,4.6
QC100044,Pune,Road,1124.9,1.05,3.0,2.66,8692.79,0,5.0
QC100045,Mumbai,Rail,674.9,4.41,2.5,3.29,3847.94,1,3.3
QC100046,Pune,Air,33.1,3.33,0.9,0.3,722.04,0,4.9
QC100047,Hyderabad,Air,594.7,2.88,2.1,1.9,11851.21,0,3.9
QC100048,Pune,Air,45.8,2.68,0.9,0.3,902.26,0,4.6
QC100049,Bangalore,Air,1353.0,2.94,3.7,1.81,26781.15,0,4.2
QC100050,Bangalore,Air,185.4,2.61,1.4,0.53,3779.93,0,5.0
QC100051,Bangalore,Rail,993.1,2.19,3.0,2.59,5456.25,0,5.0
QC100052,Bangalore,Rail,1362.1,3.47,3.7,3.63,7356.02,0,5.0
QC100053,Hyderabad,Air,1157.8,4.02,3.2,1.57,22918.31,0,4.1
QC100054,Delhi-NCR,Air,981.4,1.89,3.0,1.11,19426.82,0,4.4
QC100055,Mumbai,Road,1176.5,2.36,3.3,2.93,9034.22,0,4.6
QC100056,Bangalore,Air,1374.7,2.66,3.7,0.62,27242.39,0,4.1
QC100057,Pune,ROAD,872.9,3.01,2.5,2.8,6741.5,1,3.4
QC100058,Bangalore,Road,786.4,2.78,2.7,2.6,6121.02,0,4.9
QC100059,Pune,Rail,882.5,4.46,2.7,3.16,4873.51,1,3.0
QC100060,Pune,ROAD,749.5,1.11,2.3,3.15,5785.82,1,2.9
QC100061,Bangalore,Road,892.0,1.24,2.7,2.59,6699.03,0,4.0
QC100062,Hyderabad,Road,634.2,3.37,2.3,2.55,4815.46,1,2.6
QC100063,Pune,Road,312.1,,1.5,1.78,2377.4,1,3.7
QC100064,Pune,Air,175.4,5.11,1.2,0.3,3527.02,0,4.0
QC100065,Bangalore,Road,103.1,6.06,1.0,0.92,948.18,0,4.0
QC100066,Pune,Road,374.5,3.46,1.4,0.87,2874.47,0,4.7
QC100067,Pune,Road,72.2,1.58,1.1,0.3,620.79,0,4.4
QC100068,Bangalore,Air,797.5,5.66,2.3,0.62,15845.27,0,4.1
QC100069,Bangalore,Air,403.1,3.38,1.7,0.52,7970.17,0,4.8
QC100070,Mumbai,Road,1155.8,1.23,3.4,3.25,8794.74,0,4.1
QC100071,Hyderabad,Road,111.3,1.3,1.0,1.06,1010.34,1,2.2
QC100072,Hyderabad,Road,323.1,7.46,1.6,1.37,2557.55,0,5.0
QC100073,Pune,Air,1024.5,6.76,3.0,1.65,20448.24,0,4.0
QC100074,Hyderabad,Air,841.5,0.66,2.7,1.54,16580.09,0,4.0
QC100075,Pune,Road,97.8,1.33,1.2,1.0,857.25,0,4.0
QC100076,Mumbai,Road,1229.1,5.96,3.4,2.46,9530.84,0,4.4
QC100077,Bangalore,Road,1229.1,2.97,3.6,2.69,9472.51,0,4.3
QC100078,Bangalore,Rail,467.9,4.58,2.1,1.74,2633.93,0,4.9
QC100079,Bangalore,Road,481.8,2.89,1.9,1.8,3769.23,0,5.0
QC100080,Hyderabad,Road,1384.7,4.45,3.7,3.29,10721.6,0,4.1
QC100081,Mumbai,Road,879.6,3.01,3.1,2.41,6747.17,0,3.9
QC100082,Hyderabad,Road,747.6,2.31,2.4,1.73,5721.26,0,4.1
QC100083,Hyderabad,Air,1174.7,5.67,3.4,2.01,23364.07,0,4.6
QC100084,Mumbai,Road,405.1,3.39,1.7,1.52,3201.1,0,4.3
QC100085,Mumbai,Air,605.4,4.44,2.2,0.34,12062.84,0,4.1
QC100086,Mumbai,Air,380.7,3.3,1.6,0.3,7643.69,0,3.8
QC100087,Mumbai,Road,1106.5,,3.2,3.04,8542.12,0,3.3
QC100088,Bangalore,Road,806.1,7.89,2.7,2.7,6295.67,0,3.9
QC100089,Delhi-NCR,Rail,925.1,3.72,2.8,2.95,4957.67,1,3.9
QC100090,Delhi-NCR,Road,359.2,2.43,1.5,1.84,2761.41,1,3.5
QC100091,Mumbai,Road,314.6,6.47,1.4,1.02,2627.72,0,4.3
QC100092,Delhi-NCR,Rail,687.8,1.36,2.1,3.05,3759.0,1,3.7
QC100093,Delhi-NCR,Road,1034.7,11.49,3.0,3.42,8083.9,1,2.7
QC100094,Mumbai,Road,739.1,2.7,2.3,2.18,5717.75,0,4.4
QC100095,Delhi-NCR,Road,53.4,1.4,0.9,0.3,474.31,0,3.5
QC100096,Hyderabad,Rail,1217.0,9.43,3.6,4.3,6703.2,1,3.5
QC100097,Pune,Road,98.0,2.28,1.2,1.02,864.86,0,4.5
QC100098,Pune,Road,1338.5,3.48,3.7,3.71,10331.91,1,3.4
QC100099,Mumbai,ROAD,43.0,4.62,1.0,0.74,346.12,0,5.0
QC100100,Bangalore,Road,974.7,6.11,3.0,2.13,7617.82,0,4.8
QC100101,Mumbai,Road,122.4,3.6,0.8,1.26,976.58,1,2.7
QC100102,Bangalore,Road,1275.7,2.04,3.4,3.44,9785.08,1,3.9
